"SeqNum.row","SeqNum.col","dist.manh","SampNum.row","SampNum.col"
1,1,0,"hc1_2","hc1_2"
1,15,157521.667715301,"ss3_15","hc1_2"
1,3,166176.410985216,"hc2_15","hc1_2"
1,17,163822.084360019,"ss3_20","hc1_2"
1,4,159157.631949381,"hc2_17","hc1_2"
1,2,171042.59637122,"hc1_4","hc1_2"
1,7,169715.968788609,"hc3_7","hc1_2"
1,16,162933.110119886,"ss3_16","hc1_2"
1,14,160556.785592831,"ss3_14","hc1_2"
1,9,178095.114973391,"hc3_11","hc1_2"
1,8,158694.726120391,"hc3_10","hc1_2"
1,12,191656.754316883,"ss2_18","hc1_2"
1,10,168275.046253686,"ss2_9","hc1_2"
1,6,166610.568180464,"hc3_5","hc1_2"
1,11,161458.142722081,"ss2_14","hc1_2"
1,18,169212.399200867,"ss5_18","hc1_2"
1,5,185427.80836753,"hc3_1","hc1_2"
1,13,162984.568486729,"ss3_3","hc1_2"
2,7,166651.282680382,"hc3_7","hc1_4"
2,2,0,"hc1_4","hc1_4"
2,12,192742.551438765,"ss2_18","hc1_4"
2,9,179180.543186068,"hc3_11","hc1_4"
2,17,166663.013837677,"ss3_20","hc1_4"
2,10,174126.677939118,"ss2_9","hc1_4"
2,8,168122.19531734,"hc3_10","hc1_4"
2,5,181273.474214405,"hc3_1","hc1_4"
2,6,179807.483495556,"hc3_5","hc1_4"
2,15,163790.648969839,"ss3_15","hc1_4"
2,1,171042.59637122,"hc1_2","hc1_4"
2,4,156628.763851202,"hc2_17","hc1_4"
2,13,165994.310254009,"ss3_3","hc1_4"
2,3,166273.811413718,"hc2_15","hc1_4"
2,16,167422.012437453,"ss3_16","hc1_4"
2,11,166381.030654042,"ss2_14","hc1_4"
2,18,172182.022788356,"ss5_18","hc1_4"
2,14,165540.626657691,"ss3_14","hc1_4"
3,1,166176.410985216,"hc1_2","hc2_15"
3,15,155733.03473657,"ss3_15","hc2_15"
3,17,163184.670261385,"ss3_20","hc2_15"
3,13,160974.048788389,"ss3_3","hc2_15"
3,3,0,"hc2_15","hc2_15"
3,4,153423.816496783,"hc2_17","hc2_15"
3,8,162898.984574416,"hc3_10","hc2_15"
3,10,169489.425926301,"ss2_9","hc2_15"
3,9,177250.257992789,"hc3_11","hc2_15"
3,2,166273.811413718,"hc1_4","hc2_15"
3,11,156592.894385273,"ss2_14","hc2_15"
3,16,161951.96460355,"ss3_16","hc2_15"
3,7,156919.582687613,"hc3_7","hc2_15"
3,18,170798.960314683,"ss5_18","hc2_15"
3,5,180644.832289729,"hc3_1","hc2_15"
3,6,177382.900211248,"hc3_5","hc2_15"
3,12,194856.783269349,"ss2_18","hc2_15"
3,14,158416.25039628,"ss3_14","hc2_15"
4,1,159157.631949381,"hc1_2","hc2_17"
4,5,180916.326463646,"hc3_1","hc2_17"
4,15,145224.552348016,"ss3_15","hc2_17"
4,3,153423.816496783,"hc2_15","hc2_17"
4,13,155899.76903163,"ss3_3","hc2_17"
4,12,194838.284496597,"ss2_18","hc2_17"
4,11,149596.275151291,"ss2_14","hc2_17"
4,7,156768.692539485,"hc3_7","hc2_17"
4,9,176270.180986183,"hc3_11","hc2_17"
4,18,165710.111751108,"ss5_18","hc2_17"
4,2,156628.763851202,"hc1_4","hc2_17"
4,16,156529.323060428,"ss3_16","hc2_17"
4,10,163503.965334303,"ss2_9","hc2_17"
4,4,0,"hc2_17","hc2_17"
4,17,156120.656653685,"ss3_20","hc2_17"
4,6,172104.039786245,"hc3_5","hc2_17"
4,8,152761.403876197,"hc3_10","hc2_17"
4,14,152216.247041653,"ss3_14","hc2_17"
5,14,179567.672015362,"ss3_14","hc3_1"
5,18,181149.978828691,"ss5_18","hc3_1"
5,17,182303.635299533,"ss3_20","hc3_1"
5,5,0,"hc3_1","hc3_1"
5,3,180644.832289729,"hc2_15","hc3_1"
5,16,182099.309577962,"ss3_16","hc3_1"
5,8,186896.287262566,"hc3_10","hc3_1"
5,1,185427.80836753,"hc1_2","hc3_1"
5,2,181273.474214405,"hc1_4","hc3_1"
5,10,183723.165504758,"ss2_9","hc3_1"
5,7,171396.90273975,"hc3_7","hc3_1"
5,15,185106.330347856,"ss3_15","hc3_1"
5,6,192688.354370024,"hc3_5","hc3_1"
5,4,180916.326463646,"hc2_17","hc3_1"
5,13,180673.478898399,"ss3_3","hc3_1"
5,12,193290.705349275,"ss2_18","hc3_1"
5,11,184054.069471744,"ss2_14","hc3_1"
5,9,185821.676536343,"hc3_11","hc3_1"
6,16,177076.979575972,"ss3_16","hc3_5"
6,9,188060.067434751,"hc3_11","hc3_5"
6,13,174893.225317509,"ss3_3","hc3_5"
6,12,199719.671578533,"ss2_18","hc3_5"
6,14,173270.807151039,"ss3_14","hc3_5"
6,8,167266.686819142,"hc3_10","hc3_5"
6,7,181744.282287888,"hc3_7","hc3_5"
6,10,181217.643576091,"ss2_9","hc3_5"
6,18,180056.681170966,"ss5_18","hc3_5"
6,1,166610.568180464,"hc1_2","hc3_5"
6,3,177382.900211248,"hc2_15","hc3_5"
6,2,179807.483495556,"hc1_4","hc3_5"
6,15,170220.901423735,"ss3_15","hc3_5"
6,6,0,"hc3_5","hc3_5"
6,5,192688.354370024,"hc3_1","hc3_5"
6,11,176125.145201825,"ss2_14","hc3_5"
6,4,172104.039786245,"hc2_17","hc3_5"
6,17,175019.4879785,"ss3_20","hc3_5"
7,3,156919.582687613,"hc2_15","hc3_7"
7,6,181744.282287888,"hc3_5","hc3_7"
7,7,0,"hc3_7","hc3_7"
7,16,162235.169659598,"ss3_16","hc3_7"
7,1,169715.968788609,"hc1_2","hc3_7"
7,11,160012.753990032,"ss2_14","hc3_7"
7,9,178575.783483229,"hc3_11","hc3_7"
7,15,157536.765784553,"ss3_15","hc3_7"
7,5,171396.90273975,"hc3_1","hc3_7"
7,13,161100.579669288,"ss3_3","hc3_7"
7,2,166651.282680382,"hc1_4","hc3_7"
7,14,158315.999330372,"ss3_14","hc3_7"
7,10,167887.568709304,"ss2_9","hc3_7"
7,8,167181.128564596,"hc3_10","hc3_7"
7,12,194383.563511579,"ss2_18","hc3_7"
7,17,163507.85089102,"ss3_20","hc3_7"
7,4,156768.692539485,"hc2_17","hc3_7"
7,18,170319.885820342,"ss5_18","hc3_7"
8,12,198096.123900649,"ss2_18","hc3_10"
8,2,168122.19531734,"hc1_4","hc3_10"
8,4,152761.403876197,"hc2_17","hc3_10"
8,7,167181.128564596,"hc3_7","hc3_10"
8,18,169427.007468213,"ss5_18","hc3_10"
8,13,160211.890779957,"ss3_3","hc3_10"
8,14,157470.217991319,"ss3_14","hc3_10"
8,16,160667.525508393,"ss3_16","hc3_10"
8,10,170887.061463312,"ss2_9","hc3_10"
8,3,162898.984574416,"hc2_15","hc3_10"
8,1,158694.726120391,"hc1_2","hc3_10"
8,15,148644.456137207,"ss3_15","hc3_10"
8,6,167266.686819142,"hc3_5","hc3_10"
8,8,0,"hc3_10","hc3_10"
8,5,186896.287262566,"hc3_1","hc3_10"
8,11,154770.858813035,"ss2_14","hc3_10"
8,17,157044.125305484,"ss3_20","hc3_10"
8,9,184776.884314516,"hc3_11","hc3_10"
9,6,188060.067434751,"hc3_5","hc3_11"
9,4,176270.180986183,"hc2_17","hc3_11"
9,9,0,"hc3_11","hc3_11"
9,11,173951.182833776,"ss2_14","hc3_11"
9,7,178575.783483229,"hc3_7","hc3_11"
9,14,168106.048399499,"ss3_14","hc3_11"
9,17,171908.449985336,"ss3_20","hc3_11"
9,10,174048.835062506,"ss2_9","hc3_11"
9,15,173525.789685902,"ss3_15","hc3_11"
9,8,184776.884314516,"hc3_10","hc3_11"
9,3,177250.257992789,"hc2_15","hc3_11"
9,12,190482.575363342,"ss2_18","hc3_11"
9,1,178095.114973391,"hc1_2","hc3_11"
9,18,173351.74856671,"ss5_18","hc3_11"
9,13,168474.004450701,"ss3_3","hc3_11"
9,16,171776.569980212,"ss3_16","hc3_11"
9,2,179180.543186068,"hc1_4","hc3_11"
9,5,185821.676536343,"hc3_1","hc3_11"
10,2,174126.677939118,"hc1_4","ss2_9"
10,5,183723.165504758,"hc3_1","ss2_9"
10,18,158008.884148809,"ss5_18","ss2_9"
10,17,156435.929862746,"ss3_20","ss2_9"
10,8,170887.061463312,"hc3_10","ss2_9"
10,16,146321.509182758,"ss3_16","ss2_9"
10,4,163503.965334303,"hc2_17","ss2_9"
10,13,146207.030839034,"ss3_3","ss2_9"
10,14,145833.661558509,"ss3_14","ss2_9"
10,11,145806.732752041,"ss2_14","ss2_9"
10,7,167887.568709304,"hc3_7","ss2_9"
10,3,169489.425926301,"hc2_15","ss2_9"
10,6,181217.643576091,"hc3_5","ss2_9"
10,15,153808.548038791,"ss3_15","ss2_9"
10,12,178637.239989423,"ss2_18","ss2_9"
10,1,168275.046253686,"hc1_2","ss2_9"
10,10,0,"ss2_9","ss2_9"
10,9,174048.835062506,"hc3_11","ss2_9"
11,15,136313.526396626,"ss3_15","ss2_14"
11,9,173951.182833776,"hc3_11","ss2_14"
11,2,166381.030654042,"hc1_4","ss2_14"
11,8,154770.858813035,"hc3_10","ss2_14"
11,13,139062.150157985,"ss3_3","ss2_14"
11,7,160012.753990032,"hc3_7","ss2_14"
11,12,186576.395909349,"ss2_18","ss2_14"
11,18,154960.21922814,"ss5_18","ss2_14"
11,6,176125.145201825,"hc3_5","ss2_14"
11,1,161458.142722081,"hc1_2","ss2_14"
11,16,136705.998113848,"ss3_16","ss2_14"
11,14,138115.189615746,"ss3_14","ss2_14"
11,3,156592.894385273,"hc2_15","ss2_14"
11,5,184054.069471744,"hc3_1","ss2_14"
11,10,145806.732752041,"ss2_9","ss2_14"
11,4,149596.275151291,"hc2_17","ss2_14"
11,17,148062.333027241,"ss3_20","ss2_14"
11,11,0,"ss2_14","ss2_14"
12,13,171586.46681574,"ss3_3","ss2_18"
12,7,194383.563511579,"hc3_7","ss2_18"
12,6,199719.671578533,"hc3_5","ss2_18"
12,16,182565.117679367,"ss3_16","ss2_18"
12,2,192742.551438765,"hc1_4","ss2_18"
12,8,198096.123900649,"hc3_10","ss2_18"
12,4,194838.284496597,"hc2_17","ss2_18"
12,3,194856.783269349,"hc2_15","ss2_18"
12,5,193290.705349275,"hc3_1","ss2_18"
12,12,0,"ss2_18","ss2_18"
12,18,172245.963373437,"ss5_18","ss2_18"
12,11,186576.395909349,"ss2_14","ss2_18"
12,17,186354.124537017,"ss3_20","ss2_18"
12,9,190482.575363342,"hc3_11","ss2_18"
12,10,178637.239989423,"ss2_9","ss2_18"
12,15,188547.601403955,"ss3_15","ss2_18"
12,14,176121.084225455,"ss3_14","ss2_18"
12,1,191656.754316883,"hc1_2","ss2_18"
13,18,144403.87800512,"ss5_18","ss3_3"
13,17,149252.00315664,"ss3_20","ss3_3"
13,7,161100.579669288,"hc3_7","ss3_3"
13,8,160211.890779957,"hc3_10","ss3_3"
13,13,0,"ss3_3","ss3_3"
13,15,143144.576995637,"ss3_15","ss3_3"
13,5,180673.478898399,"hc3_1","ss3_3"
13,3,160974.048788389,"hc2_15","ss3_3"
13,11,139062.150157985,"ss2_14","ss3_3"
13,12,171586.46681574,"ss2_18","ss3_3"
13,6,174893.225317509,"hc3_5","ss3_3"
13,16,136556.586969231,"ss3_16","ss3_3"
13,1,162984.568486729,"hc1_2","ss3_3"
13,14,136368.084513548,"ss3_14","ss3_3"
13,2,165994.310254009,"hc1_4","ss3_3"
13,9,168474.004450701,"hc3_11","ss3_3"
13,4,155899.76903163,"hc2_17","ss3_3"
13,10,146207.030839034,"ss2_9","ss3_3"
14,10,145833.661558509,"ss2_9","ss3_14"
14,18,146672.584012114,"ss5_18","ss3_14"
14,2,165540.626657691,"hc1_4","ss3_14"
14,7,158315.999330372,"hc3_7","ss3_14"
14,11,138115.189615746,"ss2_14","ss3_14"
14,3,158416.25039628,"hc2_15","ss3_14"
14,8,157470.217991319,"hc3_10","ss3_14"
14,1,160556.785592831,"hc1_2","ss3_14"
14,12,176121.084225455,"ss2_18","ss3_14"
14,4,152216.247041653,"hc2_17","ss3_14"
14,9,168106.048399499,"hc3_11","ss3_14"
14,5,179567.672015362,"hc3_1","ss3_14"
14,13,136368.084513548,"ss3_3","ss3_14"
14,6,173270.807151039,"hc3_5","ss3_14"
14,17,148265.624401285,"ss3_20","ss3_14"
14,16,134629.343362034,"ss3_16","ss3_14"
14,15,139061.191764647,"ss3_15","ss3_14"
14,14,0,"ss3_14","ss3_14"
15,1,157521.667715301,"hc1_2","ss3_15"
15,6,170220.901423735,"hc3_5","ss3_15"
15,13,143144.576995637,"ss3_3","ss3_15"
15,17,145165.737247387,"ss3_20","ss3_15"
15,14,139061.191764647,"ss3_14","ss3_15"
15,4,145224.552348016,"hc2_17","ss3_15"
15,12,188547.601403955,"ss2_18","ss3_15"
15,11,136313.526396626,"ss2_14","ss3_15"
15,9,173525.789685902,"hc3_11","ss3_15"
15,2,163790.648969839,"hc1_4","ss3_15"
15,5,185106.330347856,"hc3_1","ss3_15"
15,18,159187.551075897,"ss5_18","ss3_15"
15,8,148644.456137207,"hc3_10","ss3_15"
15,15,0,"ss3_15","ss3_15"
15,16,141127.167108795,"ss3_16","ss3_15"
15,10,153808.548038791,"ss2_9","ss3_15"
15,7,157536.765784553,"hc3_7","ss3_15"
15,3,155733.03473657,"hc2_15","ss3_15"
16,4,156529.323060428,"hc2_17","ss3_16"
16,17,148640.327846005,"ss3_20","ss3_16"
16,11,136705.998113848,"ss2_14","ss3_16"
16,8,160667.525508393,"hc3_10","ss3_16"
16,14,134629.343362034,"ss3_14","ss3_16"
16,3,161951.96460355,"hc2_15","ss3_16"
16,16,0,"ss3_16","ss3_16"
16,9,171776.569980212,"hc3_11","ss3_16"
16,18,153910.613432372,"ss5_18","ss3_16"
16,7,162235.169659598,"hc3_7","ss3_16"
16,5,182099.309577962,"hc3_1","ss3_16"
16,10,146321.509182758,"ss2_9","ss3_16"
16,1,162933.110119886,"hc1_2","ss3_16"
16,2,167422.012437453,"hc1_4","ss3_16"
16,12,182565.117679367,"ss2_18","ss3_16"
16,13,136556.586969231,"ss3_3","ss3_16"
16,6,177076.979575972,"hc3_5","ss3_16"
16,15,141127.167108795,"ss3_15","ss3_16"
17,3,163184.670261385,"hc2_15","ss3_20"
17,16,148640.327846005,"ss3_16","ss3_20"
17,1,163822.084360019,"hc1_2","ss3_20"
17,8,157044.125305484,"hc3_10","ss3_20"
17,13,149252.00315664,"ss3_3","ss3_20"
17,4,156120.656653685,"hc2_17","ss3_20"
17,7,163507.85089102,"hc3_7","ss3_20"
17,12,186354.124537017,"ss2_18","ss3_20"
17,17,0,"ss3_20","ss3_20"
17,5,182303.635299533,"hc3_1","ss3_20"
17,14,148265.624401285,"ss3_14","ss3_20"
17,18,160272.233423453,"ss5_18","ss3_20"
17,10,156435.929862746,"ss2_9","ss3_20"
17,2,166663.013837677,"hc1_4","ss3_20"
17,6,175019.4879785,"hc3_5","ss3_20"
17,9,171908.449985336,"hc3_11","ss3_20"
17,15,145165.737247387,"ss3_15","ss3_20"
17,11,148062.333027241,"ss2_14","ss3_20"
18,2,172182.022788356,"hc1_4","ss5_18"
18,1,169212.399200867,"hc1_2","ss5_18"
18,6,180056.681170966,"hc3_5","ss5_18"
18,9,173351.74856671,"hc3_11","ss5_18"
18,13,144403.87800512,"ss3_3","ss5_18"
18,7,170319.885820342,"hc3_7","ss5_18"
18,4,165710.111751108,"hc2_17","ss5_18"
18,12,172245.963373437,"ss2_18","ss5_18"
18,3,170798.960314683,"hc2_15","ss5_18"
18,5,181149.978828691,"hc3_1","ss5_18"
18,18,0,"ss5_18","ss5_18"
18,15,159187.551075897,"ss3_15","ss5_18"
18,16,153910.613432372,"ss3_16","ss5_18"
18,17,160272.233423453,"ss3_20","ss5_18"
18,11,154960.21922814,"ss2_14","ss5_18"
18,10,158008.884148809,"ss2_9","ss5_18"
18,8,169427.007468213,"hc3_10","ss5_18"
18,14,146672.584012114,"ss3_14","ss5_18"
